key,default,fr,en,gb,it;;;;;
payplug_a24854748a79644ea78a127748b9e081;payplug.construct.description;;;;
payplugnotifications_070045a43ffc0c954761e803bf7ec0f7;The amount collected by PayPlug is not the same;Le montant collecté par PayPlug est différent;The amount collected by PayPlug is not the same;The amount collected by PayPlug is not the same;L'importo raccolto da PayPlug è diverso
payplugnotifications_baad4f460ebbb7b6080ffce28c800b87; as the total value of the order;du total de la commande; as the total value of the order; as the total value of the order;dal totale dell'ordine
payplugnotifications_ce2d9931d650f844d0e49ba70cf68376;Oney 3x;Oney 3x;Oney 3x;Oney 3x;Oney 3x
payplugnotifications_f9932dff56316ff55d6280cfeb91846e;Oney 4x;Oney 4x;Oney 4x;Oney 4x;Oney 4x
payplug_1249590cfb27680c6f59bd041edd812d;payplug.abortPayment.cannotAbort;Le paiement fractionné ne peut pas être annulé.;Cannot abort installment.;Cannot abort installment.;Impossibile interropere il pagamento frazionato.
payplug_50c92213aac3437fd7b6081ccb274cd8;payplug.adminAjaxController.settingsNotUpdated;Les changements n'ont pas été mis à jour.;Settings not updated;Settings not updated;Aggiornamento non riuscito
payplug_3b13b7b1ada74ffc106c25a47078e387;payplug.adminAjaxController.passwordInvalid;Le mot de passe saisi n'est pas valide;The password you entered is invalid;The password you entered is invalid;La password inserita non é corretta
payplug_60b031efb994d5c853cfc4816fab262e;payplug.adminAjaxController.credentialsNotCorrect;L'e-mail ou le mot de passe saisi est incorrect.;The email and/or password was not correct.;The email and/or password was not correct.;L'indirizzo mail e/o la password sono errati.
payplug_9a456bd25825e3c4d0f7a85105724f88;payplug.adminAjaxController.orderUpdated;La commande a été mise à jour avec succès.;Order successfully updated.;Order successfully updated.;Ordine aggiornato correttamente.
payplug_e3395d35ff1a202d63c0090d1c8772d4;payplug.assignContentVar.installment;Paiements fractionnés;Installment;Installment;Pagamento frazionato:  
payplug_e251932c6fafc34a274b99ebb9e6f70b;payplug.assignContentVar.deferred;Paiements différés;Deferred;Deferred;Pagamento differito: 
payplug_07b724fa5d5c3eca8a51696d412acece;payplug.assignContentVar.oney;Oney;Oney;Oney;Oney
payplug_f40145536110051efd072d7d3c6a56ea;payplug.assignSwitchConfiguration.showPayplug;Afficher le module Payplug à mes clients;Show Payplug to my customers;Show Payplug to my customers;Mostra PayPlug ai clienti
payplug_85910e0691a4205f890425497a1fc893;payplug.assignSwitchConfiguration.test;test;test;test;test
payplug_c9e5fd656b62ace2dbbae8cceab0a860;payplug.assignSwitchConfiguration.live;live;live;live;live
payplug_be68eac79ad39a8e98bfd7c15b9fa7a3;payplug.assignSwitchConfiguration.embedded;intégrée;embedded;embedded;integrata
payplug_af839f228c4f4ed3419092c5fbe8a2fa;payplug.assignSwitchConfiguration.redirected;redirigée;redirected;redirected;rediretta
payplug_8deca510ddb96ce73b4b888f1ac6bf45;payplug.assignSwitchConfiguration.yes;oui;yes;yes;si
payplug_5c8c18e98173556b72b7967275b7167e;payplug.assignSwitchConfiguration.no;non;no;no;no
payplug_7faae00658a5f76ad9cc9bc9a4c1ab42;payplug.adminAjaxController.card;Carte;Card;Card;Carta
payplug_ba28730b5824d52b120458b56e5283d5;payplug.buildPaymentDetails.live;LIVE;LIVE;LIVE;LIVE
payplug_7b7fac9977c51c0575969f611af5cec0;payplug.buildPaymentDetails.test;TEST;TEST;TEST;TEST
payplug_c932bec7b606a04b1278308bec3dfcbe;payplug.buildPaymentDetails.yes;OUI;YES;YES;SI
payplug_d4f89ce6867150e03f1d42744705ab80;payplug.buildPaymentDetails.no;NON;NO;NO;NO
payplug_3e4527e1fd3b7472f676f9ba82459a9b;payplug.buildPaymentDetails.deferred;en différé;deferred;deferred;differito
payplug_7e33109db492a78f226b730cb5d1739d;payplug.buildPaymentDetails.captureAuthorizedBefore;déclenchement autorisé avant le %s;capture authorized before %s;capture authorized before %s;Avvio autorizzata prima di %s
payplug_bcaeb61d421604fe73d92a367303dc6b;payplug.buildPaymentDetails.captureAuthorizedBeforeWarning;La capture de ce paiement est autorisée avant %s. Après cette date, vous ne pourrez plus être payé.;Capture of this payment is authorized before %s. After this date, you will not be able to get paid.;Capture of this payment is authorized before %s. After this date, you will not be able to get paid.;La cattura di questo pagamento è autorizzato, prima %s. Dopo questa data non potrai più essere pagato.
payplug_311ed00278a7081d7ad64d730e9f4a37;payplug.capturePayment.cannotCapture;Le paiement ne peut pas être capturé.;Cannot capture this payment.;Cannot capture this payment.;Il pagamento non può essere recuperato.
payplug_1a5ea175a58e46aec10650431fa85c8e;payplug.capturePayment.errorOccurred;Une erreur est survenue;An error has occurred;An error has occurred;C'è stato un errore
payplug_34fa0c97811e4367e795272fec7c20e5;payplug.capturePayment.captured.;Le paiement a été correctement capturé.;Payment successfully captured.;Payment successfully captured.;Il pagamento è stato correttamente recuperato.
payplug_9bd416a75a77a1f0f9cbfb6c24c78be3;payplug.catchErrorsFromApi.transactionNotCompleted;La transaction n'a pas pu aboutir, et votre carte n'a pas été débitée.;The transaction was not completed and your card was not charged.;The transaction was not completed and your card was not charged.;La transazione non è stata conclusa e non è stato effettuato alcun addebito sulla tua carta.
payplug_ac98647d8ff4a9a12280d177a7320510;payplug.checkConfiguration.curlExtension;L'extension php curl doit être installée et activée;PHP cURL extension must be enabled on your server;PHP cURL extension must be enabled on your server;l'estensione PHP cURL deve essere abilitata sul tuo server
payplug_01abf60a14b2f7a636aefbb242c981f7;payplug.checkConfiguration.phpVersion;La version PHP de votre serveur doit être la version 5.3 au minimum;Your server must run PHP 5.3 or greater;Your server must run PHP 5.3 or greater;Il tuo server deve essere su PHP 5.3 o maggiore
payplug_922fcab664e04e713b84bbd0d8a5c422;payplug.checkConfiguration.openssl;Votre serveur doit disposer d’une version 1.0.1 ou supérieure d'OpenSSL;OpenSSL 1.0.1 or later;OpenSSL 1.0.1 or later;Il tuo server deve essere OpenSSL 1.0.1 o successivo
